@relation R_data_frame

@attribute Timestamp numeric
@attribute Temperature numeric

@data
7395,23.25
7401,23.25
7408,23.25
7414,23.25
7421,23.25
7427,23.25
7434,23.25
7440,23.25
7447,23.25
7454,23.25
7460,23.25
7467,23.25
7473,23.25
7480,23.25
7486,23.25
7493,23.25
7499,23.25
7506,23.25
7513,23.25
7519,23.25
7526,23.25
7532,23.25
7539,23.19
7545,23.25
7552,23.25
7558,23.25
7565,23.25
7572,23.19
7579,23.19
7586,23.19
7591,23.19
7598,23.25
7604,23.19
7611,23.19
7618,23.25
7624,23.25
7631,23.19
7637,23.19
7644,23.19
7650,23.19
7657,23.19
7663,23.19
7670,23.19
7677,23.19
7683,23.19
7690,23.19
7696,23.19
7703,23.19
7709,23.19
7716,23.19
7722,23.19
7729,23.19
7736,23.19
7742,23.19
7749,23.19
7755,23.19
7762,23.19
7768,23.19
7775,23.19
7781,23.19
7788,23.19
7795,23.19
7801,23.19
7808,23.19
7814,23.19
7821,23.19
7827,23.19
7834,23.19
7841,23.19
7847,23.19
7854,23.13
7860,23.19
7867,23.13
7873,23.19
7880,23.19
7886,23.19
7893,23.13
7900,23.19
7906,23.19
7913,23.13
7919,23.13
7926,23.19
7932,23.19
7939,23.13
7945,23.13
7952,23.19
7959,23.13
7965,23.13
7972,23.13
7978,23.13
7985,23.13
7991,23.13
7998,23.19
8004,23.19
8011,23.13
8018,23.19
8024,23.19
8031,23.19
8037,23.19
8044,23.19
8050,23.19
8057,23.19
8063,23.19
8070,23.19
8077,23.19
8083,23.19
8090,23.19
8096,23.19
8103,23.19
8109,23.19
8116,23.19
8123,23.19
8129,23.19
8136,23.19
8142,23.25
8149,23.25
8155,23.25
8162,23.19
8168,23.25
8175,23.25
8182,23.25
8188,23.25
8195,23.25
8201,23.25
8208,23.25
8214,23.25
8221,23.25
8227,23.25
8234,23.25
8241,23.31
8247,23.31
8254,23.31
8260,23.31
8267,23.31
8273,23.31
8280,23.31
8286,23.31
8293,23.31
8300,23.31
8306,23.31
8313,23.31
8319,23.31
8326,23.31
